Aaron Eckhart	The Dark Knight
Abe Vigoda	Look Whos Talking
Abigail Breslin	Little Miss Sunshine
Abigail Breslin	Signs
Adam Brody	Mr. & Mrs. Smith
Adam Bryant	Fisher King, The
Adam Sandler	Anger Management
Adam Sandler	Click
Adam Sandler	Grown Ups
Adam Sandler	The Longest Yard
Adam Sandler	Big Daddy
Adam Sandler	Waterboy, The
Adewale Akinnuoye-Agbaje	G.I. Joe: The Rise of Cobra
Adolphe Menjou	Morning Glory
Adoni Maropis	Troy
Adriana Caselotti	Snow White and the Seven Dwarfs
Adrien Brody	Pianist, The
Adrien Brody	King Kong
Agnes Moorehead	Johnny Belinda
Ahney Her	Gran Torino
Akim Tamiroff	For Whom the Bell Tolls
Akim Tamiroff	Anastasia
Al Pacino	Scent of a Woman
Al Pacino	Godfather, The
Al Pacino	Godfather: Part II, The
Alan Alda	California Suite
Alan Alda	What Women Want
Alan Arkin	Little Miss Sunshine
Alan Bates	Women in Love
Alan Bates	Alexis Zorbas
Alan Rickman	Harry Potter and the Deathly Hallows: Part 2
Alan Rickman	Robin Hood: Prince of Thieves
Alan Tudyk	I, Robot
Albert Brooks	Finding Nemo
Albert Finney	Tom Jones
Albert Finney	Murder on the Orient Express
Albert Finney	Erin Brockovich
Albert Gran	Seventh Heaven
Alec Baldwin	The Aviator
Alec Guinness	Star Wars
Alec Guinness	Lawrence of Arabia
Alec Guinness	Bridge on the River Kwai, The
Alec Guinness	Passage to India, A
Alena Murray	Three Faces of Eve, The
Alessandro Nivola	Jurassic Park III
Alex Jennings	The Queen
Alex Rafalowicz	Shine
Alexander DArcy	Awful Truth, The
Alexander Gould	Finding Nemo
Alexandra Astin	Lord of the Rings: The Return of the King, The
Alfre Woodard	Dinosaur
Alfred Lutter III	Alice Doesnt Live Here Anymore
Alfred Molina	Spider-Man 2
Alice Brady	In Old Chicago
Alice Braga	I Am Legend
Alice da Cunha	The Iron Lady
Alice Faye	In Old Chicago
Alicia Goranson	Boys Dont Cry
Alima Ashton-Sheibu	Matrix Reloaded, The
Alison Doody	Indiana Jones and the Last Crusade
Alison Skipworth	Dangerous
Alison Whelan	My Left Foot
Allie Mickelson	Capote
Allison Gompf	Children of a Lesser God
Allison Janney	Juno
Alyson Hannigan	American Pie 2
Amanda Peet	2012
Amanda Seyfried	Mamma Mia!
Amber Rules	Monsters Ball
Amber Valletta	Hitch
America Ferrera	How to Train Your Dragon
Amr Waked	Syriana
Amrish Puri	Indiana Jones and the Temple of Doom
Amy Adams	Night at the Museum: Battle of the Smithsonian
Amy Adams	The Fighter
Amy Locane	Blue Sky
Amy Madigan	Places in the Heart
Amy Sedaris	Chicken Little
Amy Wright	Accidental Tourist, The
Andrea Checchi	Ciociara, La
Andrew Chavez	Traffic
Andrew Garfield	The Amazing Spider-Man
Andrew Prine	Miracle Worker, The
Andy Arness	Matrix Reloaded, The
Andy Devine	In Old Chicago
Andy Devine	Stagecoach
Andy Garcia	Untouchables, The
Angela Lansbury	Gaslight
Angela Lansbury	National Velvet
Angelina Jolie	Girl, Interrupted
Angelina Jolie	Shark Tale
Angelina Jolie	Mr. & Mrs. Smith
Angelina Jolie	Kung Fu Panda 2
Angelina Jolie	Kung Fu Panda
Angelina Jolie	Lara Croft: Tomb Raider
Anil Kapoor	Slumdog Millionaire
Anita Louise	Story of Louis Pasteur, The
Anita Louise	Anthony Adverse
Anita Page	Broadway Melody, The
Anjelica Huston	Prizzis Honor
Ann Blyth	Mildred Pierce
Ann Hearn	Accused, The
Ann Rutherford	Gone with the Wind
Ann Sothern	Letter to Three Wives, A
Anna Felix	Crazy Heart
Anna Kendrick	New Moon
Anna Lee	How Green Was My Valley
Anna Magnani	Rose Tattoo, The
Anna Paquin	Piano, The
Anna Popplewell	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Anna Popplewell	The Chronicles of Narnia: Prince Caspian
Annabella Sciorra	Reversal of Fortune
Anne Archer	Fatal Attraction
Anne Bancroft	Graduate, The
Anne Bancroft	Miracle Worker, The
Anne Baxter	Razors Edge, The
Anne Baxter	All About Eve
Anne Francis	Funny Girl
Anne Haney	Liar Liar
Anne Hathaway	The Dark Knight Rises
Anne Hathaway	Alice in Wonderland
Anne Revere	National Velvet
Anne Revere	Place in the Sun, A
Anne Revere	Gentlemans Agreement
Annette Bening	American Beauty
Annie Corley	Monster
Anthony Daniels	Star Wars: Episode V - The Empire Strikes Back
Anthony Daniels	Star Wars: Episode VI - Return of the Jedi
Anthony Edwards	Top Gun
Anthony Heald	Silence of the Lambs, The
Anthony Hopkins	Silence of the Lambs, The
Anthony Hopkins	Hannibal
Anthony Hopkins	Thor
Anthony Hopkins	The Lion in Winter
Anthony Mackie	The Hurt Locker
Anthony Quayle	Hamlet
Anthony Quinn	Lust for Life
Anthony Quinn	Lawrence of Arabia
Anthony Quinn	Alexis Zorbas
Anthony Quinn	Viva Zapata!
Anthony Ross	Country Girl, The
Antonio Banderas	Shrek Forever After
Antonio Banderas	Shrek the Third
Antonio Banderas	Shrek 2
Arnold Moss	Viva Zapata!
Arnold Schwarzenegger	True Lies
Arnold Schwarzenegger	Terminator 2: Judgment Day
Arnold Schwarzenegger	Terminator 3: Rise of the Machines
Arnold Vosloo	Mummy Returns, The
Arnold Vosloo	The Mummy
Art Carney	Harry and Tonto
Art Chudabala	Crash
Arthur Kennedy	Elmer Gantry
Arturo de Cordova	For Whom the Bell Tolls
Ashley Greene	Twilight
Ashley Johnson	What Women Want
Asia Argento	XXX
Audrey Hepburn	Roman Holiday
Audrey Hepburn	My Fair Lady
Audrey Tautou	The Da Vinci Code
Augusta Ciolli	Marty
Ava Gardner	Barefoot Contessa, The
Avon Long	Harry and Tonto
Barbara Baxley	Norma Rae
Barbara Harris	Thousand Clowns, A
Barbara Hershey	Hannah and Her Sisters
Barbara Hershey	Black Swan
Barbara ONeil	Gone with the Wind
Barbara Rhoades	Goodbye Girl, The
Barbra Streisand	Funny Girl
Barbra Streisand	Meet the Fockers
Barry Bostwick	Rocky Horror Picture Show, The
Barry Fitzgerald	Quiet Man, The
Barry Fitzgerald	None But the Lonely Heart
Barry Fitzgerald	Going My Way
Barry Miller	Saturday Night Fever
Barry Pearl	Grease
Barry Pepper	True Grit
Barry Sullivan	Bad and the Beautiful, The
Barton MacLane	Treasure of the Sierra Madre, The
Beah Richards	Guess Whos Coming to Dinner
Beatrice Straight	Network
Beau Bridges	Norma Rae
Bee Vang	Gran Torino
Bembol Roco	Year of Living Dangerously, The
Ben Affleck	Armageddon
Ben Affleck	Pearl Harbor
Ben Affleck	Good Will Hunting
Ben Bard	Seventh Heaven
Ben Barnes	The Chronicles of Narnia: Prince Caspian
Ben Burtt	WALL-E
Ben Cooper	Rose Tattoo, The
Ben Cross	Chariots of Fire
Ben Johnson	Last Picture Show, The
Ben Kingsley	Gandhi
Ben Kingsley	Schindlers List
Ben Stiller	Madagascar 3: Europes Most Wanted
Ben Stiller	Madagascar
Ben Stiller	Meet the Fockers
Ben Stiller	Theres Something About Mary
Ben Stiller	Night at the Museum: Battle of the Smithsonian
Ben Stiller	Meet the Parents
Ben Stiller	Night at the Museum
Ben Stiller	Madagascar: Escape 2 Africa
Ben Wright	One Hundred and One Dalmatians
Benicio Del Toro	Traffic
Benicio Del Toro	Usual Suspects, The
Berenice Bejo	The Artist
Bernie Coulson	Accused, The
Beryl Mercer	Cavalcade
Bessie Love	Broadway Melody, The
Betsy Blair	Marty
Betsy Palmer	Mister Roberts
Bette Davis	All About Eve
Bette Davis	Dangerous
Bette Davis	Jezebel
Bette Davis	Great Lie, The
Bette Davis	Watch on the Rhine
Betty Buckley	Tender Mercies
Betty Hutton	Greatest Show on Earth, The
Betty Lou Gerson	One Hundred and One Dalmatians
Betty White	The Proposal
Betty White	The Lorax
Beulah Bondi	Watch on the Rhine
Beyonce Knowles	Dreamgirls
Beyonce Knowles	Austin Powers in Goldmember
Bill Anderson Jr.	Coal Miners Daughter
Bill Cobbs	Night at the Museum
Bill Goodwin	To Each His Own
Bill Irwin	How the Grinch Stole Christmas
Bill Murray	Ghostbusters
Bill Nighy	Harry Potter and the Deathly Hallows: Part 1
Bill Nighy	Pirates of the Caribbean: Dead Mans Chest
Bill Paxton	Titanic
Bill Paxton	Apollo 13
Bill Paxton	Twister
Bill Paxton	True Lies
Bill Pullman	Independence Day
Billy Bob Thornton	Monsters Ball
Billy Bob Thornton	Armageddon
Billy Burke	Twilight
Billy Burke	The Twilight Saga: Breaking Dawn - Part 1
Billy Burke	New Moon
Billy Connolly	Brave
Billy Crudup	Mission: Impossible III
Billy Crystal	Monsters, Inc.
Billy Crystal	City Slickers
Billy Dee Williams	Star Wars: Episode V - The Empire Strikes Back
Billy Dee Williams	Star Wars: Episode VI - Return of the Jedi
Billy Green Bush	Alice Doesnt Live Here Anymore
Billy Zane	Titanic
Bing Crosby	Going My Way
Bing Crosby	Country Girl, The
Blythe Danner	Meet the Fockers
Blythe Danner	Meet the Parents
Bob Griffin	Blair Witch Project, The
Bob Gunton	Patch Adams
Bob Hoskins	Who Framed Roger Rabbit
Bob Newhart	Elf
Bob Peck	Jurassic Park
Bob Peterson	Up
Bonnie Hunt	Cheaper by the Dozen
Bonnie Hunt	Cars
Bonnie Hunt	Green Mile, The
Brad Garrett	Finding Nemo
Brad Pitt	Inglourious Basterds
Brad Pitt	Mr. & Mrs. Smith
Bradley Cooper	The Hangover Part II
Bradley Cooper	The Hangover
Brandon De Wilde	Hud
Brandon Routh	Superman Returns
Brawley Nolte	Ransom
Brenda Fricker	My Left Foot
Brenda Vaccaro	Midnight Cowboy
Brendan Fraser	Mummy Returns, The
Brendan Fraser	The Mummy
Brendan Gleeson	Cold Mountain
Brendan Sexton III	Boys Dont Cry
Brian Blessed	Tarzan
Brian Cox	The Bourne Supremacy
Brian Cox	Rise of the Planet of the Apes
Brian Cox	Troy
Brian Dennehy	Cocoon
Brian Dennehy	Ratatouille
Brian Geraghty	The Hurt Locker
Brian Haley	Gran Torino
Brian Howe	The Pursuit of Happyness
Bridget Moynahan	I, Robot
Brittany Murphy	Girl, Interrupted
Broderick Crawford	All the Kings Men
Broderick Crawford	Born Yesterday
Bronwen Coleman	Capote
Bruce Bennett	Treasure of the Sierra Madre, The
Bruce Bennett	More the Merrier, The
Bruce Boxleitner	TRON: Legacy
Bruce Dern	Coming Home
Bruce Dern	Monster
Bruce Greenwood	I, Robot
Bruce Greenwood	Star Trek
Bruce Willis	Sixth Sense, The
Bruce Willis	Over the Hedge
Bruce Willis	Armageddon
Bruno Kirby	City Slickers
Bryan Larkin	Born on the Fourth of July
Bryce Dallas Howard	The Help
Bryce Dallas Howard	The Twilight Saga: Eclipse
Bud Cort	Pollock
Burgess Meredith	Rocky
Burl Ives	East of Eden
Burl Ives	Big Country, The
Burt Lancaster	From Here to Eternity
Burt Lancaster	Airport
